CANAL;NR_IDENTIFICACAO;CLASSIFICACAO_CANAL;TIPO_CONTEUDO_CANAL;OFERTA_CLIENTE;DATA_INICIO_OFERTA;DENSIDADE_CANAL;NOME_PROGRAMADORA;CNPJ_PROGRAMADORA;CLASSIFICACAO_PROGRAMADORA;PAIS_PROGRAMADORA
O CANAL DO CARRO;24874.30001;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;01/12/2012;PADRÃO;SUPER CDMD COMÉRCIO DE VEÍCULOS AUTOMOTORES LTDA;07.950.180/0001-11;;BRASIL
OFF;4727.30121;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
OFF (EM SD);4727.30015;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
OLATV;36945.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/11/2017;PADRÃO;CARLOS ALBERTO FREITAS MORENO DAS NEVES;13.934.762/0001-07;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
PARAMOUNT NETWORKS;6209.30012;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;14/11/2014;PADRÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
PARAMOUNT NETWORKS HD;6209.30013;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;14/11/2014;ALTA DEFINIÇÃO;MTV NETWORKS LATIN AMERICA INC.;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
PIXTV;44418.30007;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
PLAYBOY HD;13263.30007;Canal de programação comum;Canal de conteúdo erótico;CANAL À LA CARTE, PAY-PER-VIEW;28/04/2017;ALTA DEFINIÇÃO;PB BRASIL ENTRETENIMENTO S/A;08.844.841/0001-97;Programadora brasileira de capital estrangeiro;BRASIL
PLAYBOY TV;13263.30003;Canal de programação comum;Canal de conteúdo erótico;CANAL À LA CARTE, PAY-PER-VIEW;04/07/2007;PADRÃO;PB BRASIL ENTRETENIMENTO S/A;08.844.841/0001-97;Programadora brasileira de capital estrangeiro;BRASIL
PLAYTV;4931.30001;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;21/10/2008;PADRÃO;PLAYTV TELEVISÃO LTDA;07.121.705/0001-06;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
PLAYTV HD;4931.30002;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;20/06/2023;ALTA DEFINIÇÃO;PLAYTV TELEVISÃO LTDA;07.121.705/0001-06;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
POLISHOPTV 1;3190.30004;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;01/08/2021;PADRÃO;POLIMPORT - COMERCIO E EXPORTACAO LTDA;00.436.042/0047-52;;BRASIL
POLISHOPTV 2;3190.30001;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;30/05/2008;PADRÃO;POLIMPORT - COMERCIO E EXPORTACAO LTDA;00.436.042/0047-52;;BRASIL
PREMIERE 10;4727.30116;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 11;4727.30117;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 12;4727.30118;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 2;4727.30101;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 2 HD;4727.30102;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 3;4727.30103;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 3 HD;4727.30104;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 4;4727.30105;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 4 HD;4727.30106;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 5;4727.30107;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 5 HD;4727.30108;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 6;4727.30109;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 6 HD;4727.30110;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 7;4727.30111;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 7 HD;4727.30112;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 8;4727.30113;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 8 HD;4727.30114;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE 9;4727.30115;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE CLUBES;4727.30011;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PREMIERE CLUBES HD;4727.30013;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
PRIME BOX BRAZIL;4744.30001;Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;05/09/2011;PADRÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
PRIME BOX BRAZIL HD;4744.30002;Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;05/09/2011;ALTA DEFINIÇÃO;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;07.254.174/0001-20;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
RAIO TV;47469.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;20/12/2020;ALTA DEFINIÇÃO;RAIO SISTEMA DE RADIODIFUSAO EIRELI;25.465.239/0001-68;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
RBSTV (GLOBO);44418.30002;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
RDC TV - REDE DIGITAL DE COMUNICAÇÃO;42572.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;02/07/2018;PADRÃO;RDCTV REDE DIGITAL DE COMUNICAÇÃO LTDA;30.455.192/0001-91;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
RECORD NEWS;44418.30012;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
RECORD RS (RECORD TV);44418.30004;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
REDE RS;44012.30001;Canal de programação comum;Canal de conteúdo jornalístico;CANAL OFERTADO EM PACOTE;01/02/2025;PADRÃO;PROGRAMADORA BRASILEIRA INDEPENDENTE LTDA;10.772.239/0001-33;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
REDE SUPER;44418.30027;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
REDE SUPER DE TELEVISÃO;30280.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;17/01/2000;PADRÃO;CANAL 23 LTDA;03.602.062/0001-61;;BRASIL
REDE VERBO TV;49414.30001;Canal de programação comum;Canal de conteúdo religioso;CANAL OFERTADO EM PACOTE;15/11/2021;PADRÃO;REDE VERBO TV LTDA;42.920.854/0001-36;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
REDE VIDA;44418.30015;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
REGIONAL TV;40400.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;18/04/2019;ALTA DEFINIÇÃO;REGIONAL TV LTDA;30.778.571/0001-12;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
RSTV;14526.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;05/05/2006;PADRÃO;VALE EUROPEU TV LTDA;08.057.453/0001-66;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
SABOR & ARTE;42455.30002;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;15/06/2021;ALTA DEFINIÇÃO;ASTARTE PRODUTORA LTDA.;26.674.863/0001-38;Programadora brasileira independente;BRASIL
SBT RS (SBT);44418.30001;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
SCC TV (SBT);44418.30024;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
SERTÃO TV;43509.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;31/01/2020;PADRÃO;SÉRGIO EDUARDO HOLANDA MACHADO;00.352.638/0001-91;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
SESCTV;44418.30014;;;;;PADRÃO;TECMIDIAWEB LTDA;09.049.228/0001-40;Programadora brasileira;BRASIL
SESCTV;2295.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;02/05/2006;PADRÃO;SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO;03.667.884/0001-20;;BRASIL
SEXPRIVÊ;3293.30009;Canal de programação comum;Canal de conteúdo erótico;CANAL OFERTADO EM PACOTE;01/03/2009;PADRÃO;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.;04.334.366/0001-58;Programadora brasileira;BRASIL
SEXTREME;13263.30006;Canal de programação comum;Canal de conteúdo erótico;CANAL À LA CARTE, PAY-PER-VIEW;27/08/2011;PADRÃO;PB BRASIL ENTRETENIMENTO S/A;08.844.841/0001-97;Programadora brasileira de capital estrangeiro;BRASIL
SEXY HOT;13263.30002;Canal de programação comum;Canal de conteúdo erótico;CANAL À LA CARTE, PAY-PER-VIEW;04/07/2007;PADRÃO;PB BRASIL ENTRETENIMENTO S/A;08.844.841/0001-97;Programadora brasileira de capital estrangeiro;BRASIL
SONY ENTERTAINMENT TELEVISION HD;22335.30002;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/09/1995;ALTA DEFINIÇÃO;SET BRAZIL, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
SONY ENTERTEINMENT TELEVISION;22335.30001;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/09/1995;PADRÃO;SET BRAZIL, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
SONY MOVIES HD;22335.30007;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;27/07/2022;ALTA DEFINIÇÃO;SET BRAZIL, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
SONY MOVIES SD;22335.30006;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;27/07/2022;PADRÃO;SET BRAZIL, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
SPACE;40403.30004;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/07/2008;PADRÃO;TURNER INTERNATIONAL LATIN AMERICA, INC;05.583.971/0001-25;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
SPACE HD;40403.30013;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/04/2009;ALTA DEFINIÇÃO;TURNER INTERNATIONAL LATIN AMERICA, INC;05.583.971/0001-25;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
SPORTV;4727.30007;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 2;4727.30008;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 2 HD;4727.30020;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 3;4727.30009;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 3 HD;4727.30023;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 4;4727.30024;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 4 HD;4727.30025;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 4K;4727.30094;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 5;4727.30026;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV 5 HD;4727.30027;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV HD;4727.30019;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV SINAL EXTRA 1;4727.30029;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTV SINAL EXTRA 2;4727.30031;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;01/01/2020;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
SPORTYNET HD;52458.30001;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;19/05/2023;ALTA DEFINIÇÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET SD;52458.30002;Canal de programação comum;Canal de conteúdo esportivo;CANAL OFERTADO EM PACOTE;19/05/2023;PADRÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET+ 1;52458.30003;;Canal de conteúdo esportivo;PAY-PER-VIEW;07/07/2025;PADRÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET+ 1 HD;52458.30006;;Canal de conteúdo esportivo;PAY-PER-VIEW;07/07/2025;ALTA DEFINIÇÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET+ 2;52458.30004;;Canal de conteúdo esportivo;PAY-PER-VIEW;07/07/2025;PADRÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET+ 2 HD;52458.30007;;Canal de conteúdo esportivo;PAY-PER-VIEW;07/07/2025;ALTA DEFINIÇÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET+ 3;52458.30005;;Canal de conteúdo esportivo;PAY-PER-VIEW;07/07/2025;PADRÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
SPORTYNET+ 3 HD;52458.30008;;Canal de conteúdo esportivo;PAY-PER-VIEW;07/07/2025;ALTA DEFINIÇÃO;SPORTY NET LTDA;41.817.089/0001-60;Programadora brasileira de capital estrangeiro;BRASIL
STUDIO UNIVERSAL;44.30002;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;11/05/2012;PADRÃO;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;Programadora brasileira de capital estrangeiro;BRASIL
STUDIO UNIVERSAL HD;44.30005;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;15/04/2017;ALTA DEFINIÇÃO;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;01.253.766/0001-40;Programadora brasileira de capital estrangeiro;BRASIL
SUPER TV HD;37964.30001;Canal de programação comum;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE, CANAL À LA CARTE;13/11/2017;ALTA DEFINIÇÃO;SUPER TV HD LTDA;28.842.875/0001-50;Programadora brasileira;BRASIL
TBC - TRIP BRASIL CHANNEL;57622.30001;Canal brasileiro de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;05/02/2024;ALTA DEFINIÇÃO;TOURTV BRASIL LTDA;52.469.919/0001-22;Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011;BRASIL
TCM;40403.30007;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/01/2009;PADRÃO;TURNER INTERNATIONAL LATIN AMERICA, INC;05.583.971/0001-25;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
TELECINE ACTION;4727.30150;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE ACTION HD;4727.30151;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE CULT;4727.30152;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE CULT HD;4727.30153;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE FUN;4727.30154;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE FUN HD;4727.30155;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE PIPOCA;4727.30156;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE PIPOCA HD;4727.30157;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE PREMIUM;4727.30158;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE PREMIUM HD;4727.30159;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE TOUCH;4727.30160;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;PADRÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TELECINE TOUCH HD;4727.30161;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/03/2025;ALTA DEFINIÇÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;Programadora brasileira independente;BRASIL
TERRA VIVA;3293.30010;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;27/06/2005;PADRÃO;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.;04.334.366/0001-58;Programadora brasileira;BRASIL
THC - THE HISTORY CHANNEL;22399.30001;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/10/2001;PADRÃO;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
THC - THE HISTORY CHANNEL HD;22399.30002;Canal de espaço qualificado;Canal de conteúdo em geral;CANAL OFERTADO EM PACOTE;01/12/2010;ALTA DEFINIÇÃO;HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC;;PROGRAMADORA ESTRANGEIRA;ESTADOS UNIDOS
THINK TV;46371.30001;Canal de programação comum;Canal de televenda ou infomercial;CANAL OFERTADO EM PACOTE;01/10/2019;ALTA DEFINIÇÃO;RCBG LATSCH CANAL DE TELEVISAO LTDA;34.337.977/0001-10;Programadora brasileira;BRASIL
